,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
nvidia_Llama_3.1_Nemotron_8B_UltraLong_4M_Instruct_one_shot,1143,494,829,10220,210,952,612,978,873,609,504,449,730,720,493,843,509,705,893,481,1460,587,1039,905,906,10227,716,10239,590,10239
nvidia_Llama_3.1_Nemotron_8B_UltraLong_4M_Instruct_zero_shot,1382,594,542,560,10238,575,1248,878,759,973,10239,454,872,833,10239,817,809,813,1174,917,889,378,724,526,10129,440,636,10239,335,495
nvidia_NVIDIA_Nemotron_Nano_12B_v2_one_shot,2316,10238,10239,318,1078,10238,8101,8762,998,540,7659,4058,997,213,10233,1355,454,1109,4497,3856,2269,10238,9478,617,5304,1029,761,10238,10239,10238
nvidia_NVIDIA_Nemotron_Nano_12B_v2_zero_shot,900,2256,284,1046,10238,1397,823,455,875,10238,10238,230,514,754,488,602,601,1602,887,500,10230,203,10238,251,780,282,353,6536,572,10238
nvidia_NVIDIA_Nemotron_Nano_9B_v2_one_shot,1504,1804,422,833,1451,965,461,401,707,914,211,889,1088,676,616,733,291,1241,875,1156,550,398,822,422,785,10238,987,627,709,454
nvidia_NVIDIA_Nemotron_Nano_9B_v2_zero_shot,628,1034,411,462,826,431,461,419,892,351,846,356,489,10238,614,573,1021,774,541,569,496,226,699,569,495,602,609,625,584,10238
nvidia_Nemotron_Research_Reasoning_Qwen_1.5B_one_shot,2257,7304,4450,3060,8245,6078,4580,5823,4385,2396,5234,2194,2487,4216,5577,4839,6507,4574,4253,6051,6563,2892,5103,5819,3697,1712,6605,5500,5735,3318
nvidia_Nemotron_Research_Reasoning_Qwen_1.5B_zero_shot,1741,7949,3183,894,3607,4302,3235,4526,3496,2817,5842,1935,2732,4724,5117,4043,4532,4149,4025,6197,9237,3545,4332,4514,3678,3553,4223,6020,3265,2755
nvidia_OpenReasoning_Nemotron_1.5B_one_shot,4315,10236,6771,10240,10240,10240,10239,10240,10207,5066,10240,10240,10239,10103,10239,10240,10240,10240,144,50,10234,10240,10239,9441,10240,324,6052,80,10239,8163
nvidia_OpenReasoning_Nemotron_1.5B_zero_shot,10240,6519,43,10240,10240,880,10240,104,10240,5774,37,10240,7105,10240,9319,10240,10240,130,10240,10240,10240,5846,10240,10241,5848,200,10240,10240,10240,83
nvidia_OpenReasoning_Nemotron_7B_one_shot,8662,92,10239,10239,10239,10241,10239,3606,4211,4648,6678,8841,4957,10239,9367,6875,10239,5964,10239,10239,1150,10239,103,10240,6567,10239,2551,8855,9367,5148
nvidia_OpenReasoning_Nemotron_7B_zero_shot,10240,10238,10238,10238,10238,10240,9136,9550,10238,2059,10238,6173,7393,10240,10239,7848,10240,10238,10240,10240,1783,10240,10240,8610,1278,10240,5521,10238,10240,10240
openai_community_gpt2_one_shot,211,611,255,144,658,5,627,670,486,6,265,165,175,169,126,98,43,78,103,120,62,45,105,268,547,687,685,671,54,624
openai_community_gpt2_zero_shot,639,62,14,471,57,716,22,152,26,747,275,353,68,217,17,44,816,358,39,37,312,230,137,104,97,101,28,804,56,288
openai_gpt_oss_20b_one_shot,2437,10240,10240,3449,9325,10240,5345,819,2104,1069,5898,1787,1984,10240,8409,1498,4939,10240,3275,2926,7674,2329,10240,2434,1724,10240,1664,4928,10240,10240
openai_gpt_oss_20b_zero_shot,1387,10240,6735,10240,5288,5484,9935,6660,1949,1316,4636,1405,1529,10240,2982,5633,5533,4348,10240,3197,9904,10240,1592,3285,1742,10240,1485,7976,10240,6350
openbmb_MiniCPM4.1_8B_one_shot,10113,10069,261,10044,10239,10239,10184,1150,10240,9905,1949,307,962,10204,10098,1071,9903,10238,9998,9737,10240,283,10240,10207,595,1221,10233,204,9633,2070
openbmb_MiniCPM4.1_8B_zero_shot,10239,912,1133,1393,10237,10241,4620,10238,10222,1452,10238,773,10238,10152,10237,1899,10241,35,503,9707,10238,649,10241,10237,10241,739,10238,10238,10241,9508
swiss_ai_Apertus_8B_Instruct_2509_one_shot,10230,10206,10213,10175,9905,10204,10227,1898,1510,1017,10238,9888,10131,10215,491,309,10212,10221,924,10235,10238,10199,9967,10224,10230,10213,9932,345,10203,10160
swiss_ai_Apertus_8B_Instruct_2509_zero_shot,926,10201,483,10141,812,853,10230,10227,671,10039,10199,10184,10124,598,498,10227,10232,10205,10214,703,10228,10189,584,10157,10140,854,681,720,10230,10163
zai_org_GLM_4_32B_0414_one_shot,1401,1220,2213,2740,1042,2408,2576,1769,1416,1030,4078,1190,899,2777,3013,2447,2912,1512,10236,2935,2581,1392,3246,1213,1171,1546,546,2285,3215,2122
zai_org_GLM_4_32B_0414_zero_shot,764,2750,1415,1680,2404,2506,3041,419,466,518,2460,754,737,2846,1167,919,3552,2828,4319,1308,786,10193,1226,1405,1479,859,2869,10239,4351,9871
